title,start,end,journal,month,year,vol,issue
Plants anticipating rain – a challenge for modelling climate change impacts,475,477,New Phytologist,January,2017,213,2
Disentangling the complexities of how legumes and their symbionts regulate plant nitrogen access and storage,478,480,New Phytologist,January,2017,213,2
"Fine endophytes (Glomus tenue) are related to Mucoromycotina, not Glomeromycota ",481,486,New Phytologist,January,2017,213,2
Double trouble: taxonomy and definitions of polyploidy,487,493,New Phytologist,January,2017,213,2
Engineering chloroplasts to improve Rubisco catalysis: prospects for translating improvements into food and fiber crops,494,510,New Phytologist,January,2017,213,2
Photoperiod- and temperature-mediated control of phenology in trees – a molecular perspective,511,524,New Phytologist,January,2017,213,2
High-quality reference transcript datasets hold the key to transcript-specific RNA-sequencing analysis in plants,525,530,New Phytologist,January,2017,213,2
Biology and evolution of arbuscular mycorrhizal symbiosis in the light of genomics,531,536,New Phytologist,January,2017,213,2
Copper and cobalt accumulation in plants: a critical assessment of the current state of knowledge,537,551,New Phytologist,January,2017,213,2
The priming molecule β-aminobutyric acid is naturally present in plants and is induced by stress,552,559,New Phytologist,January,2017,213,2
Alternative oxidase respiration maintains both mitochondrial and chloroplast function during drought,560,571,New Phytologist,January,2017,213,2
Leaf anatomy mediates coordination of leaf hydraulic conductance and mesophyll conductance to CO2 in Oryza,572,583,New Phytologist,January,2017,213,2
Warming combined with more extreme precipitation regimes modifies the water sources used by trees,584,596,New Phytologist,January,2017,213,2
Drought-induced shoot dieback starts with massive root xylem embolism and variable depletion of nonstructural carbohydrates in seedlings of two tree species,597,610,New Phytologist,January,2017,213,2
Defense traits in the long-lived Great Basin bristlecone pine and resistance to the native herbivore mountain pine beetle,611,624,New Phytologist,January,2017,213,2
Pre-rain green-up is ubiquitous across southern tropical Africa: implications for temporal niche separation and model representation,625,633,New Phytologist,January,2017,213,2
Evolutionary conservatism explains increasing relatedness of plant communities along a flooding gradient,634,644,New Phytologist,January,2017,213,2
Plants are less negatively affected by flooding when growing in species-rich plant communities,645,656,New Phytologist,January,2017,213,2
"Regeneration patterns, environmental filtering and tree species coexistence in a temperate forest ",657,668,New Phytologist,January,2017,213,2
"The role of nutrients, productivity and climate in determining tree fruit production in European forests ",669,679,New Phytologist,January,2017,213,2
Biological nitrogen fixation by alternative nitrogenases in boreal cyanolichens: importance of molybdenum availability and implications for current biological nitrogen fixation estimates,680,689,New Phytologist,January,2017,213,2
The symbionts made me do it: legumes are not hardwired for high nitrogen concentrations but incorporate more nitrogen when inoculated,690,699,New Phytologist,January,2017,213,2
Interspecific variability in phosphorus-induced lipid remodelling among marine eukaryotic phytoplankton,700,713,New Phytologist,January,2017,213,2
Conservation of core complex subunits shaped the structure and function of photosystem I in the secondary endosymbiont alga Nannochloropsis gaditana,714,726,New Phytologist,January,2017,213,2
Integration of light and circadian signals that regulate chloroplast transcription by a nuclear-encoded sigma factor,727,738,New Phytologist,January,2017,213,2
Two spatially and temporally distinct Ca2+ signals convey Arabidopsis thaliana responses to K+ deficiency,739,750,New Phytologist,January,2017,213,2
Correlation between mtDNA complexity and mtDNA replication mode in developing cotyledon mitochondria during mung bean seed germination,751,763,New Phytologist,January,2017,213,2
PCP-B class pollen coat proteins are key regulators of the hydration checkpoint in Arabidopsis thaliana pollen–stigma interactions,764,777,New Phytologist,January,2017,213,2
Biphasic regulation of the transcription factor ABORTED MICROSPORES (AMS) is essential for tapetum and pollen development in Arabidopsis,778,790,New Phytologist,January,2017,213,2
Mechanism of silica deposition in sorghum silica cells,791,798,New Phytologist,January,2017,213,2
Genome-wide association study reveals putative regulators of bioenergy traits in Populus deltoides,799,811,New Phytologist,January,2017,213,2
Does nitrogen affect the interaction between a native hemiparasite and its native or introduced leguminous hosts?,812,821,New Phytologist,January,2017,213,2
KNAT3/4/5-like class 2 KNOX transcription factors are involved in Medicago truncatula symbiotic nodule organ development,822,837,New Phytologist,January,2017,213,2
Genome-wide association analysis reveals distinct genetic architectures for single and combined stress responses in Arabidopsis thaliana,838,851,New Phytologist,January,2017,213,2
"Contrasting effects of intra- and interspecific identity and richness of ectomycorrhizal fungi on host plants, nutrient retention and multifunctionality ",852,863,New Phytologist,January,2017,213,2
Change in soil fungal community structure driven by a decline in ectomycorrhizal fungi following a mountain pine beetle (Dendroctonus ponderosae) outbreak,864,873,New Phytologist,January,2017,213,2
Long-term agricultural fertilization alters arbuscular mycorrhizal fungal community composition and barley (Hordeum vulgare) mycorrhizal carbon and phosphorus exchange,874,885,New Phytologist,January,2017,213,2
Divergent evolution of multiple virus-resistance genes from a progenitor in Capsicum spp.,886,899,New Phytologist,January,2017,213,2
Novel allelic variants in ACD6 cause hybrid necrosis in local collection of Arabidopsis thaliana,900,915,New Phytologist,January,2017,213,2
Rye B chromosomes encode a functional Argonaute-like protein with in vitro slicer activities similar to its A chromosome paralog,916,928,New Phytologist,January,2017,213,2
Lake sedimentary DNA accurately records 20th Century introductions of exotic conifers in Scotland,929,941,New Phytologist,January,2017,213,2
Impacts of human-induced environmental disturbances on hybridization between two ecologically differentiated Californian oak species,942,955,New Phytologist,January,2017,213,2
