Name,Date_measured,Date_sowing,Experiment,PlantNo,Remark,Stem_length,germination,Deformity,Thickness_1st_right,Thickness_1st_left
Murakami_2015,20150813,20150805,x1,1,,1.83,1,,,
Murakami_2015,20150813,20150805,x1,2,,1.45,1,,,
Murakami_2015,20150813,20150805,x1,3,W,2,1,-1,,
Murakami_2015,20150813,20150805,x1,4,,NA,1,,,
Murakami_2015,20150813,20150805,x1,5,WFR,1.98,1,-1,,
Murakami_2015,20150813,20150805,x1,6,,1.98,1,2,,
Murakami_2015,20150813,20150805,x1,7,,1.67,1,-1,,
Murakami_2015,20150813,20150805,x1,8,,2.14,1,2,,
Murakami_2015,20150813,20150805,x1,9,,2.17,1,2,,
Murakami_2015,20150813,20150805,x1,10,,1.76,1,-1,,
Murakami_2015,20150813,20150805,x1,11,,NA,1,,,
Murakami_2015,20150813,20150805,x1,12,WFR,2.09,1,,,
Murakami_2015,20150813,20150805,x1,13,,1.68,1,1,,
Murakami_2015,20150813,20150805,x1,14,,1.94,1,1,,
Murakami_2015,20150813,20150805,x1,15,,2.31,1,,,
Murakami_2015,20150813,20150805,x1,16,,1.63,1,,,
Murakami_2015,20150813,20150805,x1,17,,NA,1,,,
Murakami_2015,20150813,20150805,x1,18,,1.08,1,,,
Murakami_2015,20150813,20150805,x1,19,,1.88,1,-1,,
Murakami_2015,20150813,20150805,x1,20,,1.6,1,-1,,
Murakami_2015,20150813,20150805,x1,21,,1.88,1,,,
Murakami_2015,20150813,20150805,x1,22,W,1.91,1,,,
Murakami_2015,20150813,20150805,x1,23,,1.51,1,,,
Murakami_2015,20150813,20150805,x1,24,,1.38,1,1,,
Murakami_2015,20150813,20150805,x1,25,,2.18,1,-1,,
Murakami_2015,20150813,20150805,x1,26,W,2.08,1,-1,,
Murakami_2015,20150813,20150805,x1,27,,1.86,1,-1,,
Murakami_2015,20150813,20150805,x1,28,,1.65,1,2,,
Murakami_2015,20150813,20150805,x1,29,,1.51,1,,,
Murakami_2015,20150813,20150805,x1,30,,1.8,1,,,
Murakami_2015,20150813,20150805,x1,31,WFR,1.98,1,-1,,
Murakami_2015,20150813,20150805,x1,32,,NA,1,,,
Murakami_2015,20150813,20150805,x1,33,,NA,1,,,
Murakami_2015,20150813,20150805,x1,34,,0.89,1,,,
Murakami_2015,20150813,20150805,x1,35,,1.51,1,,,
Murakami_2015,20150813,20150805,x1,36,,1.59,1,,,
Murakami_2015,20150813,20150805,x1,37,,2.29,1,-1,,
Murakami_2015,20150813,20150805,x1,38,W,2.06,1,-1,,
Murakami_2015,20150813,20150805,x1,39,,1.65,1,,,
Murakami_2015,20150813,20150805,x1,40,,NA,1,,,
Murakami_2015,20150813,20150805,x1,41,,2.39,1,-1,,
Murakami_2015,20150813,20150805,x1,42,,1.84,1,-1,,
Murakami_2015,20150813,20150805,x1,43,,NA,1,,,
Murakami_2015,20150813,20150805,x1,44,,2.17,1,,,
Murakami_2015,20150813,20150805,x1,45,,2.15,1,2,,
Murakami_2015,20150813,20150805,x1,46,,2.68,1,,,
Murakami_2015,20150813,20150805,x1,47,WFR,2.04,1,-1,,
Murakami_2015,20150813,20150805,x1,48,,1.8,1,2,,
Murakami_2015,20150815,20150805,x1,3,W,2.77,1,,,
Murakami_2015,20150815,20150805,x1,22,W,2.65,1,,,
Murakami_2015,20150815,20150805,x1,26,W,3.02,1,,,
Murakami_2015,20150815,20150805,x1,38,W,2.6,1,,,
Murakami_2015,20150815,20150805,x1,5,WFR,4.07,1,,,
Murakami_2015,20150815,20150805,x1,12,WFR,3.85,1,,,
