term,freq,journal,year
abscisic,1,New Phytologist,2007
accelerated,1,New Phytologist,2007
acclimation,3,New Phytologist,2007
accumulation,1,New Phytologist,2007
acid,3,New Phytologist,2007
acids,1,New Phytologist,2007
across,1,New Phytologist,2007
activated,1,New Phytologist,2007
activator,1,New Phytologist,2007
activity,1,New Phytologist,2007
adaptive,1,New Phytologist,2007
adaxial,1,New Phytologist,2007
additions,1,New Phytologist,2007
aestivum,1,New Phytologist,2007
affect,2,New Phytologist,2007
affecting,1,New Phytologist,2007
affects,2,New Phytologist,2007
affinity,1,New Phytologist,2007
air,1,New Phytologist,2007
alfalfa,1,New Phytologist,2007
alliances,1,New Phytologist,2007
allocation,1,New Phytologist,2007
allopolyploid,1,New Phytologist,2007
along,1,New Phytologist,2007
alter,1,New Phytologist,2007
alteration,1,New Phytologist,2007
alterations,1,New Phytologist,2007
aluminum,1,New Phytologist,2007
alyssum,1,New Phytologist,2007
america,2,New Phytologist,2007
amino,1,New Phytologist,2007
amplified,1,New Phytologist,2007
analysis,9,New Phytologist,2007
anatomy,1,New Phytologist,2007
androdioecy,1,New Phytologist,2007
antarctic,1,New Phytologist,2007
anthocyanin,1,New Phytologist,2007
apricot,1,New Phytologist,2007
arabidopsis,4,New Phytologist,2007
arbuscular,3,New Phytologist,2007
arctic,1,New Phytologist,2007
area,1,New Phytologist,2007
armeniaca,1,New Phytologist,2007
arsenate,1,New Phytologist,2007
arundinaceum,1,New Phytologist,2007
asexuality,1,New Phytologist,2007
asiatica,1,New Phytologist,2007
aspects,1,New Phytologist,2007
aspergillus,1,New Phytologist,2007
assimilates,1,New Phytologist,2007
associated,3,New Phytologist,2007
association,1,New Phytologist,2007
asynchronous,1,New Phytologist,2007
atmospheric,1,New Phytologist,2007
australe,1,New Phytologist,2007
australian,1,New Phytologist,2007
australis,1,New Phytologist,2007
availability,1,New Phytologist,2007
b,1,New Phytologist,2007
bacteria,1,New Phytologist,2007
balance,1,New Phytologist,2007
balancing,1,New Phytologist,2007
barley,1,New Phytologist,2007
base,1,New Phytologist,2007
bbc,1,New Phytologist,2007
bean,1,New Phytologist,2007
below,1,New Phytologist,2007
benthamiana,1,New Phytologist,2007
berry,1,New Phytologist,2007
bicolor,1,New Phytologist,2007
binding,2,New Phytologist,2007
biochemical,1,New Phytologist,2007
biological,1,New Phytologist,2007
biology,1,New Phytologist,2007
